watched,title,url
True,神女/ The Goddess,https://movie.douban.com/subject/1302210/
True,"周处除三害 / 周處除三害/ The Pig, the Snake, and the Pigeon",https://movie.douban.com/subject/36151692/
True,飞砂风中转 / 飛砂風中轉/ 飞沙风中转 / Once a Gangster,https://movie.douban.com/subject/4723944/
True,堕落天使 / 墮落天使/ Fallen Angels,https://movie.douban.com/subject/1298112/
True,瞒天过海：美人计 / Ocean's Eight/ 女版十一罗汉 / 瞒天过海：八面玲珑(台),https://movie.douban.com/subject/26654269/
True,魔发奇缘 / Tangled/ 长发公主 / 长发姑娘,https://movie.douban.com/subject/1863766/
True,魔发奇缘番外篇：麻烦不断 / Tangled Ever After/ 长发公主番外篇：麻烦不断 / 魔发奇缘：大喜之日(港),https://movie.douban.com/subject/6799159/
True,蕾蒙娜和姐姐 / Ramona and Beezus/ 蕾梦娜和碧祖丝 / Ramona,https://movie.douban.com/subject/3071517/
True,跟踪 / 跟蹤/ Eye in the Sky,https://movie.douban.com/subject/1947114/
True,牛仔裤的夏天 / The Sisterhood of the Traveling Pants/ 牛仔裤的姐妹情谊 / 牛仔裤的夏天,https://movie.douban.com/subject/1309203/
True,超级学校霸王 / 超級學校霸王/ 超级街头霸王 / Future Cops,https://movie.douban.com/subject/1305582/
True,幽灵世界 / Ghost World/ 黐孖妹 / 青春迷魂阵,https://movie.douban.com/subject/1304868/
True,独立时代 / 獨立時代/ A Confucian Confusion,https://movie.douban.com/subject/1304476/
True,听说 / 聽說/ Hear Me,https://movie.douban.com/subject/3824672/
True,一一/ Yi yi / Yi yi: A One and a Two,https://movie.douban.com/subject/1292434/
True,风柜来的人 / 風櫃來的人/ The Boys From Fengkuei / All the Youthful Days,https://movie.douban.com/subject/1299436/
True,三峡好人/ 长江哀歌 / Still Life,https://movie.douban.com/subject/1872133/
True,天水围的日与夜 / 天水圍的日與夜/ The Way We Are,https://movie.douban.com/subject/3077668/
True,旺角黑夜/ One Nite in Mongkok,https://movie.douban.com/subject/1366853/
